Data,Horário,Equipe 1,Equipe 2,Placar,Categoria
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
